MG_Glut,K_Glut,DTT,Experiments,Tubes
13.333333333333332,106.66666666666666,0.9333333333333332,6,['A1']
8.666666666666666,140.0,0.5599999999999999,3,['A2']
4.0,173.33333333333331,1.5999999999999999,6,['A3']
4.0,106.66666666666666,0.9333333333333332,3,['A4']
8.666666666666666,140.0,1.2666666666666666,9,['A5']
8.666666666666666,69.73333333333332,1.2666666666666666,3,['A6']
8.666666666666666,140.0,1.9733333333333332,3,['A7']
13.333333333333332,106.66666666666666,1.5999999999999999,3,['A8']
13.333333333333332,173.33333333333331,1.5999999999999999,3,['A9']
4.0,106.66666666666666,1.5999999999999999,3,['A10']
